Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Return_1D,Return_5D,Return_10D,SMA_5,SMA_20,Volatility_5D,Volatility_20D,Daily_Range,Volume_Change,Next_Close,Direction
2014-07-21,RELIANCE,EQ,976.75,1000.0,1008.0,995.05,996.0,997.65,1001.72,3883004,388968301635000.0,112035.0,1944645.0,0.5008,0.021397491681597103,0.03732778788666491,-0.02876752336448607,983.76,1004.1200000000001,0.013334967427957804,0.01744241262482906,0.012980504184834407,0.8201882718682527,1030.95,1
2014-07-22,RELIANCE,EQ,997.65,1004.0,1033.9,1001.1,1030.0,1030.95,1024.62,6512321,667265893225000.0,155954.0,3702533.0,0.5685,0.03337843933243123,0.060429952684632804,0.03607858901562744,995.51,1002.675,0.017829488311781185,0.01847747448356906,0.03181531597070669,0.6771347647336958,1033.25,1
2014-07-23,RELIANCE,EQ,1030.95,1035.05,1039.8,1021.05,1031.0,1033.25,1030.23,3136481,323129985465000.0,101366.0,1655271.0,0.5277000000000001,0.002230952034531164,0.04400323330302114,0.03226934412308302,1004.22,1001.7875,0.01788185344528559,0.018413904683142076,0.01814662472780063,-0.5183773957088418,1041.05,1
2014-07-24,RELIANCE,EQ,1033.25,1030.0,1043.2,1024.0,1039.25,1041.05,1033.42,2211291,228519895450000.0,70200.0,1107095.0,0.5007,0.007548995886764942,0.05959287531806612,0.04397312474929804,1015.93,1003.2450000000001,0.015644238996906926,0.016346411040308602,0.018442918207578932,-0.2949770778142766,1021.85,0
2014-07-25,RELIANCE,EQ,1041.05,1041.9,1043.3,1007.05,1020.0,1021.85,1023.08,3093322,316470863870000.0,89940.0,1570369.0,0.5077,-0.018442918207578818,0.04617353468134122,0.05726849456802907,1024.95,1003.7325000000001,0.019677382644849334,0.016947812074549432,0.035474874003033716,0.39887604119041775,1005.6,0
2014-07-28,RELIANCE,EQ,1021.85,1021.0,1023.55,1001.6,1004.0,1005.6,1008.48,2142490,216065065530000.03,61462.0,1179194.0,0.5504,-0.015902529725497883,0.007968726507292079,0.045593969326748196,1026.5400000000002,1003.2425,0.02093790105248985,0.01732786757083868,0.02182776451869524,-0.307382160667399,1006.15,1
2014-07-30,RELIANCE,EQ,1005.6,1004.0,1011.0,993.0,1006.0,1006.15,1003.09,4255466,426861015680000.0,140062.0,2944448.0,0.6919,0.0005469371519490895,-0.024055482807119666,0.034920798189672864,1021.5799999999999,1003.15,0.011618057469284277,0.017250972328904438,0.017889976643641604,0.9862244397873503,1006.45,1
2014-07-31,RELIANCE,EQ,1006.15,1007.95,1019.9,1002.0,1005.0,1006.45,1010.49,4051138,409361789615000.0,89055.0,2766837.0,0.6829999999999999,0.00029816627739398527,-0.025937575610936348,0.016924320501161993,1016.22,1002.5600000000001,0.011354652867320646,0.01708665152169229,0.01778528491231554,-0.04801542298775274,976.3,0
2014-08-01,RELIANCE,EQ,1006.45,995.0,999.0,975.0,976.0,976.3,987.58,3617603,357268694265000.0,89176.0,2121463.0,0.5864,-0.02995677877688918,-0.062196820517746554,-0.0063104325699746555,1003.2699999999999,1001.05,0.01309071257357625,0.018177570475355825,0.02458260780497798,-0.1070156089474118,985.0,1
2014-08-04,RELIANCE,EQ,976.3,981.0,989.7,976.05,984.4,985.0,983.3,3353808,329781242645000.0,73597.0,1911419.0,0.5699000000000001,0.008911195329304622,-0.036062044331359844,0.008446378295367207,995.9,998.7025,0.015567683108130234,0.017259627896231537,0.013857868020304661,-0.07291983116997636,983.85,0
2014-08-05,RELIANCE,EQ,985.0,985.1,987.85,971.0,983.55,983.85,979.33,2796475,273867671825000.0,78452.0,1441993.0,0.5156000000000001,-0.0011675126903553101,-0.021628878281622965,-0.013832506390016541,991.55,996.5349999999999,0.014893378593059657,0.017251375407982238,0.01712659450119431,-0.16617916112073206,988.15,1
2014-08-06,RELIANCE,EQ,983.85,984.9,998.6,979.5,990.05,988.15,989.54,3739249,370012975755000.0,70656.0,1888075.0,0.5049,0.004370584946892242,-0.01788997664364156,-0.04151510742519038,987.95,996.1899999999999,0.015295515609025166,0.0158512597013553,0.019329049233416003,0.3371294218614507,989.3,1
2014-08-07,RELIANCE,EQ,988.15,989.0,996.7,983.35,990.0,989.3,990.17,2478789,245443000690000.0,50217.0,1344606.0,0.5424,0.0011637909224306853,-0.01704009141040297,-0.04253568836196475,984.5200000000001,995.6074999999998,0.015354165256502723,0.015789523287892276,0.013494389972707998,-0.33708907858235704,980.5,0
